Tura,Symbol,Koszt,Oblozenie,Koszt w turze
26,r5,0.705*r5**0.95,62,35.5599565804580
26,r6,0.895*r6**0.95,0,0
26,r7,2.85*r7**0.95,0,0
26,r8,0.01*r8**0.95,56,0.457908416063848
26,r9,1.685*r9**0.95,105,140.194100767973
26,r10,1.875*r10**0.95,0,0
26,r11,2.645*r11**0.95,0,0
26,r12,2.835*r12**0.95,0,0
27,f1,1.3*f1**1.03,0,0
27,f2,1.3*f2**1.03,203,309.502578379685
27,s1,1.1*s1**1.07,62,91.0440970218765
27,s2,1.1*s2**1.07,46,66.1520892806379
27,s3,1.1*s3**1.07,95,143.733149770206
27,s4,1.1*s4**1.07,0,0
27,m1,1.2*m1**1.05,157,242.591668264348
27,m2,1.2*m2**1.05,46,66.8462377584274
27,r1,1.78*r1**0.95,0,0
27,r2,0.195*r2**0.95,157,23.7760267748143
27,r3,1.83*r3**0.95,0,0
27,r4,0.145*r4**0.95,46,5.50792404099934
27,r5,0.705*r5**0.95,62,35.5599565804580
27,r6,0.895*r6**0.95,0,0
27,r7,2.85*r7**0.95,0,0
27,r8,0.01*r8**0.95,46,0.379856830413748
27,r9,1.685*r9**0.95,95,127.478613187770
27,r10,1.875*r10**0.95,0,0
27,r11,2.645*r11**0.95,0,0
27,r12,2.835*r12**0.95,0,0
28,f1,1.3*f1**1.03,0,0
28,f2,1.3*f2**1.03,218,333.083823038449
28,s1,1.1*s1**1.07,60,87.9051912364121
28,s2,1.1*s2**1.07,52,75.4251639470753
28,s3,1.1*s3**1.07,106,161.610644040354
28,s4,1.1*s4**1.07,0,0
28,m1,1.2*m1**1.05,166,257.214080080474
28,m2,1.2*m2**1.05,52,76.0299591007451
28,r1,1.78*r1**0.95,0,0
28,r2,0.195*r2**0.95,166,25.0690164316922
28,r3,1.83*r3**0.95,0,0
28,r4,0.145*r4**0.95,52,6.18829742334280
28,r5,0.705*r5**0.95,60,34.4693270629726
28,r6,0.895*r6**0.95,0,0
28,r7,2.85*r7**0.95,0,0
28,r8,0.01*r8**0.95,52,0.426779132644331
28,r9,1.685*r9**0.95,106,141.462222580813
28,r10,1.875*r10**0.95,0,0
28,r11,2.645*r11**0.95,0,0
28,r12,2.835*r12**0.95,0,0
29,f1,1.3*f1**1.03,0,0
29,f2,1.3*f2**1.03,211,322.072972309224
29,s1,1.1*s1**1.07,54,78.5333291332747
29,s2,1.1*s2**1.07,55,80.0904553664029
29,s3,1.1*s3**1.07,102,155.093954294396
29,s4,1.1*s4**1.07,0,0
29,m1,1.2*m1**1.05,156,240.969498780887
29,m2,1.2*m2**1.05,55,80.6421448077794
29,r1,1.78*r1**0.95,0,0
29,r2,0.195*r2**0.95,156,23.6321361367735
29,r3,1.83*r3**0.95,0,0
29,r4,0.145*r4**0.95,55,6.52698413781802
29,r5,0.705*r5**0.95,54,31.1862523551235
29,r6,0.895*r6**0.95,0,0
29,r7,2.85*r7**0.95,0,0
29,r8,0.01*r8**0.95,55,0.450136837090898
29,r9,1.685*r9**0.95,102,136.386086684103
29,r10,1.875*r10**0.95,0,0
29,r11,2.645*r11**0.95,0,0
29,r12,2.835*r12**0.95,0,0
30,f1,1.3*f1**1.03,0,0
30,f2,1.3*f2**1.03,209,318.929011644677
30,s1,1.1*s1**1.07,54,78.5333291332747
30,s2,1.1*s2**1.07,56,81.6495647637497
30,s3,1.1*s3**1.07,99,150.218127247546
30,s4,1.1*s4**1.07,0,0
